lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,y
8.67,14.5,0.6,1254.67,2485.0,0.5,4.0,1.0,4.0,3,2,1.5,1.0
7.0,17.0,0.41,672.0,3564.0,0.19,4.0,8.0,0.5,1,1,1.0,0.0
14.0,3.33,4.2,3024.0,323.0,9.36,6.0,1.0,6.0,1,3,0.33,1.0
11.83,13.67,0.87,2142.0,3089.0,0.69,1.0,6.33,0.16,6,6,1.0,0.0
13.0,10.5,1.24,1750.0,1455.0,1.2,6.0,4.75,1.26,1,4,0.25,0.0
12.0,1.0,12.0,1575.0,192.0,8.2,5.0,1.0,5.0,1,1,1.0,1.0
7.0,3.0,2.33,640.0,320.0,2.0,4.0,2.0,2.0,1,1,1.0,1.0
2.0,13.0,0.15,240.0,1944.0,0.12,1.0,6.0,0.17,1,1,1.0,0.0
16.0,19.0,0.84,2800.0,5292.0,0.53,1.0,9.0,0.11,1,1,1.0,0.0
13.0,9.0,1.44,1512.0,1123.75,1.35,6.0,1.0,6.0,1,4,0.25,0.0
3.0,3.2,0.94,288.0,367.8,0.78,2.0,1.8,1.11,1,5,0.2,0.0
6.0,5.0,1.2,560.0,420.0,1.33,3.0,3.0,1.0,1,1,1.0,1.0
6.0,20.0,0.3,1024.0,5040.0,0.2,3.0,9.0,0.33,1,1,1.0,0.0
3.0,14.0,0.21,300.0,2835.0,0.11,2.0,6.0,0.33,1,1,1.0,0.0
13.0,20.0,0.65,2520.0,6720.0,0.38,6.0,9.0,0.67,1,1,1.0,1.0
9.2,12.5,0.74,1192.6,2405.0,0.5,4.2,6.0,0.7,5,4,1.25,0.0
15.0,15.0,1.0,3456.0,2520.0,1.37,7.0,7.0,1.0,1,1,1.0,1.0
10.5,3.0,3.5,2094.0,288.0,7.27,5.0,1.0,5.0,4,1,4.0,1.0
5.0,11.0,0.45,615.0,1480.0,0.42,2.5,5.0,0.5,2,2,1.0,0.0
16.0,12.14,1.32,3780.0,2508.71,1.51,7.0,5.71,1.23,1,7,0.14,0.0
